claim_id,cluster_id,cluster_size,distance_from_centroid,is_outlier,cluster_avg_claim_amount,cluster_std_claim_amount,claim_amount_z_score
WC-2023001285,Electrical-Intermittent-Faults,470,1.474,N,3130.91,1970.63,-0.46
WC-2023001286,Fuel-System-Cold-Start,390,1.101,N,3525.56,2352.52,-1.28
WC-2023001287,Emission-High-Mileage-Cascadia,339,0.916,N,3724.51,1975.33,-0.79
WC-2023001288,Transmission-Class8-Heavy-Use,276,1.172,N,4789.88,1996.74,0.81
WC-2023001289,Engine-Extended-Warranty,364,0.369,N,4658.44,2195.34,-0.3
WC-2023001290,Campaign-Related-Defect,1241,0.473,N,4154.73,2330.54,0.03
WC-2023001291,Electrical-Intermittent-Faults,470,0.401,N,3130.91,1970.63,-0.87
WC-2023001292,Electrical-Intermittent-Faults,470,0.574,N,3130.91,1970.63,-0.87
WC-2023001293,Engine-Extended-Warranty,364,1.416,N,4658.44,2195.34,-1.21
WC-2023001294,Engine-Extended-Warranty,364,1.277,N,4658.44,2195.34,1.13
WC-2023001295,Brake-Rust-Belt-Winter,562,0.951,N,2534.44,1878.53,0.6
WC-2023001296,Campaign-Related-Defect,1241,1.059,N,4154.73,2330.54,-0.53
WC-2023001297,Emission-DPF-Regen-Failure,335,0.479,N,3920.94,2145.67,-0.08
WC-2023001298,Emission-High-Mileage-Cascadia,339,1.315,N,3724.51,1975.33,-0.78
WC-2023001299,Campaign-Related-Defect,1241,1.194,N,4154.73,2330.54,-1.23
WC-2023001300,Electrical-Intermittent-Faults,470,1.648,N,3130.91,1970.63,0.18
WC-2023001301,Engine-Extended-Warranty,364,1.251,N,4658.44,2195.34,-0.19
WC-2023001302,Cooling-Summer-Sun-Belt,509,0.872,N,2771.87,2089.92,-0.68
WC-2023001303,Campaign-Related-Defect,1241,0.639,N,4154.73,2330.54,-1.0
WC-2023001304,Emission-DPF-Regen-Failure,335,1.704,N,3920.94,2145.67,1.78
WC-2023001305,Brake-Rust-Belt-Winter,562,3.233,Y,2534.44,1878.53,3.26
WC-2023001306,Drivetrain-Construction-Fleet,254,1.13,N,4330.36,2909.27,-1.37
WC-2023001307,Campaign-Related-Defect,1241,1.848,N,4154.73,2330.54,1.02
WC-2023001308,Electrical-Intermittent-Faults,470,0.586,N,3130.91,1970.63,-0.85
WC-2023001309,Campaign-Related-Defect,1241,1.558,N,4154.73,2330.54,0.43
WC-2023001310,Drivetrain-Construction-Fleet,254,1.587,N,4330.36,2909.27,1.43
WC-2023001311,Cab-Body-Regional-Distribution,260,1.558,N,2397.55,2071.18,-0.96
WC-2023001312,Campaign-Related-Defect,1241,4.22,Y,4154.73,2330.54,-0.46
WC-2023001313,Engine-Extended-Warranty,364,3.81,Y,4658.44,2195.34,-1.22
WC-2023001314,Drivetrain-Construction-Fleet,254,1.902,N,4330.36,2909.27,0.17
WC-2023001315,Engine-Extended-Warranty,364,0.688,N,4658.44,2195.34,-1.17
WC-2023001316,Campaign-Related-Defect,1241,0.859,N,4154.73,2330.54,-0.61
WC-2023001317,Fuel-System-Cold-Start,390,0.896,N,3525.56,2352.52,-1.11
WC-2023001318,Brake-Rust-Belt-Winter,562,0.47,N,2534.44,1878.53,-1.12
WC-2023001319,Emission-DPF-Regen-Failure,335,1.915,N,3920.94,2145.67,-1.0
WC-2023001320,Campaign-Related-Defect,1241,0.561,N,4154.73,2330.54,-0.6
WC-2023001321,Cooling-Summer-Sun-Belt,509,1.031,N,2771.87,2089.92,-0.91
WC-2023001322,Brake-Rust-Belt-Winter,562,1.565,N,2534.44,1878.53,-0.34
WC-2023001323,Electrical-Intermittent-Faults,470,1.591,N,3130.91,1970.63,-0.84
WC-2023001324,Brake-Rust-Belt-Winter,562,0.377,N,2534.44,1878.53,-0.6
WC-2023001325,Engine-Extended-Warranty,364,0.604,N,4658.44,2195.34,-0.51
WC-2023001326,Campaign-Related-Defect,1241,0.976,N,4154.73,2330.54,-0.53
WC-2023001327,Campaign-Related-Defect,1241,0.486,N,4154.73,2330.54,-1.4
WC-2023001328,Engine-Extended-Warranty,364,1.052,N,4658.44,2195.34,0.29
WC-2023001329,Cooling-Summer-Sun-Belt,509,1.715,N,2771.87,2089.92,-0.91
WC-2023001330,Campaign-Related-Defect,1241,0.339,N,4154.73,2330.54,-1.01
WC-2023001331,Electrical-Intermittent-Faults,470,0.568,N,3130.91,1970.63,0.1
WC-2023001332,Transmission-Class8-Heavy-Use,276,0.245,N,4789.88,1996.74,3.04
WC-2023001333,Emission-DPF-Regen-Failure,335,1.789,N,3920.94,2145.67,-1.14
WC-2023001334,Campaign-Related-Defect,1241,1.12,N,4154.73,2330.54,1.51
WC-2023001335,Fuel-System-Cold-Start,390,2.429,N,3525.56,2352.52,0.62
WC-2023001336,Emission-DPF-Regen-Failure,335,0.591,N,3920.94,2145.67,-0.4
WC-2023001337,Cooling-Summer-Sun-Belt,509,0.474,N,2771.87,2089.92,2.11
WC-2023001338,Electrical-Intermittent-Faults,470,1.714,N,3130.91,1970.63,0.47
WC-2023001339,Fuel-System-Cold-Start,390,1.94,N,3525.56,2352.52,-0.14
WC-2023001340,Engine-Extended-Warranty,364,0.182,N,4658.44,2195.34,-0.77
WC-2023001341,Campaign-Related-Defect,1241,0.952,N,4154.73,2330.54,-0.6
WC-2023001342,Emission-High-Mileage-Cascadia,339,0.416,N,3724.51,1975.33,-0.72
WC-2023001343,Electrical-Intermittent-Faults,470,0.698,N,3130.91,1970.63,-0.27
WC-2023001344,Brake-Rust-Belt-Winter,562,1.617,N,2534.44,1878.53,2.26
WC-2023001345,Electrical-Intermittent-Faults,470,0.82,N,3130.91,1970.63,0.17
WC-2023001346,Cooling-Summer-Sun-Belt,509,1.335,N,2771.87,2089.92,-0.91
WC-2023001347,Transmission-Class8-Heavy-Use,276,0.42,N,4789.88,1996.74,-1.05
WC-2023001348,Campaign-Related-Defect,1241,1.561,N,4154.73,2330.54,1.76
WC-2023001349,Brake-Rust-Belt-Winter,562,1.131,N,2534.44,1878.53,-0.9
WC-2023001350,Cooling-Summer-Sun-Belt,509,3.195,Y,2771.87,2089.92,-0.15
WC-2023001351,Cooling-Summer-Sun-Belt,509,1.183,N,2771.87,2089.92,1.25
WC-2023001352,Campaign-Related-Defect,1241,0.638,N,4154.73,2330.54,-0.37
WC-2023001353,Cooling-Summer-Sun-Belt,509,1.301,N,2771.87,2089.92,-0.1
WC-2023001354,Cooling-Summer-Sun-Belt,509,0.813,N,2771.87,2089.92,1.44
WC-2023001355,Drivetrain-Construction-Fleet,254,0.865,N,4330.36,2909.27,0.36
WC-2023001356,Fuel-System-Cold-Start,390,0.908,N,3525.56,2352.52,-0.35
WC-2023001357,Campaign-Related-Defect,1241,0.227,N,4154.73,2330.54,-0.89
WC-2023001358,Campaign-Related-Defect,1241,1.195,N,4154.73,2330.54,-0.73
WC-2023001359,Campaign-Related-Defect,1241,0.969,N,4154.73,2330.54,-0.41
WC-2023001360,Brake-Rust-Belt-Winter,562,1.91,N,2534.44,1878.53,-1.04
WC-2023001361,Electrical-Intermittent-Faults,470,0.424,N,3130.91,1970.63,-0.06
WC-2023001362,Emission-DPF-Regen-Failure,335,0.973,N,3920.94,2145.67,2.84
WC-2023001363,Emission-High-Mileage-Cascadia,339,0.861,N,3724.51,1975.33,0.05
WC-2023001364,Campaign-Related-Defect,1241,0.909,N,4154.73,2330.54,1.58
WC-2023001365,Cab-Body-Regional-Distribution,260,1.425,N,2397.55,2071.18,-0.95
WC-2023001366,Emission-High-Mileage-Cascadia,339,1.296,N,3724.51,1975.33,-1.4
WC-2023001367,Cab-Body-Regional-Distribution,260,0.954,N,2397.55,2071.18,-0.94
WC-2023001368,Fuel-System-Cold-Start,390,1.579,N,3525.56,2352.52,0.03
WC-2023001369,Electrical-Intermittent-Faults,470,1.712,N,3130.91,1970.63,0.11
WC-2023001370,Cab-Body-Regional-Distribution,260,1.002,N,2397.55,2071.18,-0.22
WC-2023001371,Emission-DPF-Regen-Failure,335,1.218,N,3920.94,2145.67,-0.45
WC-2023001372,Emission-DPF-Regen-Failure,335,3.943,Y,3920.94,2145.67,-0.94
WC-2023001373,Electrical-Intermittent-Faults,470,1.771,N,3130.91,1970.63,1.55
WC-2023001374,Emission-High-Mileage-Cascadia,339,0.802,N,3724.51,1975.33,-1.39
WC-2023001375,Engine-Extended-Warranty,364,0.369,N,4658.44,2195.34,0.41
WC-2023001376,Cab-Body-Regional-Distribution,260,0.685,N,2397.55,2071.18,-0.48
WC-2023001377,Campaign-Related-Defect,1241,1.598,N,4154.73,2330.54,0.93
WC-2023001378,Transmission-Class8-Heavy-Use,276,1.57,N,4789.88,1996.74,-1.02
WC-2023001379,Brake-Rust-Belt-Winter,562,1.931,N,2534.44,1878.53,-0.85
WC-2023001380,Fuel-System-Cold-Start,390,1.719,N,3525.56,2352.52,-0.41
WC-2023001381,Campaign-Related-Defect,1241,0.3,N,4154.73,2330.54,-0.46
WC-2023001382,Engine-Extended-Warranty,364,1.851,N,4658.44,2195.34,1.62
WC-2023001383,Campaign-Related-Defect,1241,1.863,N,4154.73,2330.54,1.52
WC-2023001384,Campaign-Related-Defect,1241,1.922,N,4154.73,2330.54,0.18
WC-2023001385,Campaign-Related-Defect,1241,0.941,N,4154.73,2330.54,-0.15
WC-2023001386,Brake-Rust-Belt-Winter,562,1.547,N,2534.44,1878.53,-0.91
WC-2023001387,Campaign-Related-Defect,1241,0.184,N,4154.73,2330.54,1.24
WC-2023001388,Campaign-Related-Defect,1241,0.868,N,4154.73,2330.54,0.02
WC-2023001389,Emission-DPF-Regen-Failure,335,0.448,N,3920.94,2145.67,1.4
WC-2023001390,Transmission-Class8-Heavy-Use,276,1.46,N,4789.88,1996.74,-1.03
WC-2023001391,Brake-Rust-Belt-Winter,562,0.93,N,2534.44,1878.53,-0.63
WC-2023001392,Campaign-Related-Defect,1241,0.722,N,4154.73,2330.54,-1.16
WC-2023001393,Emission-High-Mileage-Cascadia,339,1.053,N,3724.51,1975.33,1.82
WC-2023001394,Engine-Extended-Warranty,364,0.983,N,4658.44,2195.34,0.19
WC-2023001395,Campaign-Related-Defect,1241,1.023,N,4154.73,2330.54,-0.14
WC-2023001396,Campaign-Related-Defect,1241,1.214,N,4154.73,2330.54,-0.61
WC-2023001397,Cooling-Summer-Sun-Belt,509,0.895,N,2771.87,2089.92,-1.11
WC-2023001398,Engine-Extended-Warranty,364,1.491,N,4658.44,2195.34,1.51
WC-2023001399,Transmission-Class8-Heavy-Use,276,0.858,N,4789.88,1996.74,1.36
WC-2023001400,Emission-DPF-Regen-Failure,335,0.827,N,3920.94,2145.67,-0.5
WC-2023001401,Emission-DPF-Regen-Failure,335,0.931,N,3920.94,2145.67,-0.43
WC-2023001402,Transmission-Class8-Heavy-Use,276,1.648,N,4789.88,1996.74,-0.23
WC-2023001403,Cab-Body-Regional-Distribution,260,1.763,N,2397.55,2071.18,-0.02
WC-2023001404,Campaign-Related-Defect,1241,3.505,Y,4154.73,2330.54,0.67
WC-2023001405,Campaign-Related-Defect,1241,1.343,N,4154.73,2330.54,-0.66
WC-2023001406,Brake-Rust-Belt-Winter,562,1.923,N,2534.44,1878.53,-0.62
WC-2023001407,Campaign-Related-Defect,1241,1.847,N,4154.73,2330.54,1.86
WC-2023001408,Fuel-System-Cold-Start,390,1.855,N,3525.56,2352.52,-0.1
WC-2023001409,Campaign-Related-Defect,1241,0.775,N,4154.73,2330.54,-0.06
WC-2023001410,Emission-High-Mileage-Cascadia,339,1.177,N,3724.51,1975.33,-0.16
WC-2023001411,Campaign-Related-Defect,1241,0.359,N,4154.73,2330.54,-0.23
WC-2023001412,Campaign-Related-Defect,1241,1.56,N,4154.73,2330.54,0.64
WC-2023001413,Drivetrain-Construction-Fleet,254,1.257,N,4330.36,2909.27,0.29
WC-2023001414,Drivetrain-Construction-Fleet,254,0.549,N,4330.36,2909.27,0.16
WC-2023001415,Engine-Extended-Warranty,364,3.364,Y,4658.44,2195.34,1.53
WC-2023001416,Emission-High-Mileage-Cascadia,339,1.512,N,3724.51,1975.33,-0.41
WC-2023001417,Campaign-Related-Defect,1241,0.592,N,4154.73,2330.54,-0.46
WC-2023001418,Electrical-Intermittent-Faults,470,0.699,N,3130.91,1970.63,-0.01
WC-2023001419,Campaign-Related-Defect,1241,0.359,N,4154.73,2330.54,-0.35
WC-2023001420,Campaign-Related-Defect,1241,1.108,N,4154.73,2330.54,0.43
WC-2023001421,Campaign-Related-Defect,1241,1.295,N,4154.73,2330.54,-1.03
WC-2023001422,Cooling-Summer-Sun-Belt,509,1.794,N,2771.87,2089.92,-1.11
WC-2023001423,Emission-High-Mileage-Cascadia,339,1.288,N,3724.51,1975.33,2.12
WC-2023001424,Fuel-System-Cold-Start,390,0.329,N,3525.56,2352.52,0.6
WC-2023001425,Emission-DPF-Regen-Failure,335,1.359,N,3920.94,2145.67,0.52
WC-2023001426,Emission-DPF-Regen-Failure,335,1.501,N,3920.94,2145.67,-0.35
WC-2023001427,Engine-Extended-Warranty,364,0.72,N,4658.44,2195.34,-0.53
WC-2023001428,Emission-High-Mileage-Cascadia,339,1.846,N,3724.51,1975.33,-0.75
WC-2023001429,Engine-Extended-Warranty,364,1.818,N,4658.44,2195.34,-0.12
WC-2023001430,Emission-High-Mileage-Cascadia,339,0.114,N,3724.51,1975.33,0.08
WC-2023001431,Cooling-Summer-Sun-Belt,509,1.039,N,2771.87,2089.92,-1.13
WC-2023001432,Campaign-Related-Defect,1241,0.596,N,4154.73,2330.54,-0.17
WC-2023001433,Engine-Extended-Warranty,364,1.867,N,4658.44,2195.34,-0.54
WC-2023001434,Campaign-Related-Defect,1241,0.843,N,4154.73,2330.54,-0.6
WC-2023001435,Electrical-Intermittent-Faults,470,1.45,N,3130.91,1970.63,2.57
WC-2023001436,Engine-Extended-Warranty,364,1.064,N,4658.44,2195.34,0.44
WC-2023001437,Campaign-Related-Defect,1241,1.822,N,4154.73,2330.54,-0.6
WC-2023001438,Campaign-Related-Defect,1241,0.351,N,4154.73,2330.54,-0.09
WC-2023001439,Campaign-Related-Defect,1241,1.706,N,4154.73,2330.54,0.56
WC-2023001440,Emission-High-Mileage-Cascadia,339,1.347,N,3724.51,1975.33,0.14
WC-2023001441,Campaign-Related-Defect,1241,0.533,N,4154.73,2330.54,0.37
WC-2023001442,Campaign-Related-Defect,1241,0.733,N,4154.73,2330.54,1.4
WC-2023001443,Cab-Body-Regional-Distribution,260,1.815,N,2397.55,2071.18,-0.91
WC-2023001444,Emission-DPF-Regen-Failure,335,1.118,N,3920.94,2145.67,-1.01
WC-2023001445,Transmission-Class8-Heavy-Use,276,1.877,N,4789.88,1996.74,-0.02
WC-2023001446,Transmission-Class8-Heavy-Use,276,1.186,N,4789.88,1996.74,1.52
WC-2023001447,Electrical-Intermittent-Faults,470,0.149,N,3130.91,1970.63,-0.83
WC-2023001448,Campaign-Related-Defect,1241,0.345,N,4154.73,2330.54,-1.38
WC-2023001449,Fuel-System-Cold-Start,390,1.232,N,3525.56,2352.52,0.72
WC-2023001450,Campaign-Related-Defect,1241,0.947,N,4154.73,2330.54,0.21
WC-2023001451,Brake-Rust-Belt-Winter,562,0.34,N,2534.44,1878.53,-0.64
WC-2023001452,Emission-High-Mileage-Cascadia,339,0.746,N,3724.51,1975.33,1.63
WC-2023001453,Fuel-System-Cold-Start,390,1.786,N,3525.56,2352.52,0.42
WC-2023001454,Engine-Extended-Warranty,364,0.342,N,4658.44,2195.34,-1.4
WC-2023001455,Engine-Extended-Warranty,364,1.372,N,4658.44,2195.34,-0.38
WC-2023001456,Electrical-Intermittent-Faults,470,0.4,N,3130.91,1970.63,3.15
WC-2023001457,Emission-High-Mileage-Cascadia,339,0.402,N,3724.51,1975.33,1.19
WC-2023001458,Engine-Extended-Warranty,364,0.37,N,4658.44,2195.34,0.26
WC-2023001459,Cab-Body-Regional-Distribution,260,0.283,N,2397.55,2071.18,-0.4
WC-2023001460,Campaign-Related-Defect,1241,1.8,N,4154.73,2330.54,0.2
WC-2023001461,Campaign-Related-Defect,1241,0.479,N,4154.73,2330.54,0.99
WC-2023001462,Emission-DPF-Regen-Failure,335,1.97,N,3920.94,2145.67,-0.3
WC-2023001463,Transmission-Class8-Heavy-Use,276,1.295,N,4789.88,1996.74,-1.07
WC-2023001464,Cooling-Summer-Sun-Belt,509,1.619,N,2771.87,2089.92,0.82
WC-2023001465,Engine-Extended-Warranty,364,2.917,N,4658.44,2195.34,1.4
WC-2023001466,Emission-High-Mileage-Cascadia,339,1.599,N,3724.51,1975.33,-1.42
WC-2023001467,Campaign-Related-Defect,1241,0.828,N,4154.73,2330.54,1.33
WC-2023001468,Cooling-Summer-Sun-Belt,509,0.163,N,2771.87,2089.92,-0.74
WC-2023001469,Electrical-Intermittent-Faults,470,1.358,N,3130.91,1970.63,-0.13
WC-2023001470,Campaign-Related-Defect,1241,2.775,N,4154.73,2330.54,2.3
WC-2023001471,Engine-Extended-Warranty,364,0.258,N,4658.44,2195.34,0.03
WC-2023001472,Campaign-Related-Defect,1241,0.848,N,4154.73,2330.54,-0.64
WC-2023001473,Cab-Body-Regional-Distribution,260,1.949,N,2397.55,2071.18,0.72
WC-2023001474,Cab-Body-Regional-Distribution,260,1.982,N,2397.55,2071.18,1.19
WC-2023001475,Emission-DPF-Regen-Failure,335,1.522,N,3920.94,2145.67,0.69
WC-2023001476,Cab-Body-Regional-Distribution,260,1.253,N,2397.55,2071.18,-0.17
WC-2023001477,Cooling-Summer-Sun-Belt,509,1.033,N,2771.87,2089.92,-0.69
WC-2023001478,Fuel-System-Cold-Start,390,1.064,N,3525.56,2352.52,-0.36
WC-2023001479,Campaign-Related-Defect,1241,0.652,N,4154.73,2330.54,-1.62
WC-2023001480,Campaign-Related-Defect,1241,1.885,N,4154.73,2330.54,0.46
WC-2023001481,Brake-Rust-Belt-Winter,562,0.442,N,2534.44,1878.53,-1.07
WC-2023001482,Engine-Extended-Warranty,364,1.945,N,4658.44,2195.34,2.52
WC-2023001483,Brake-Rust-Belt-Winter,562,0.472,N,2534.44,1878.53,-0.38
WC-2023001484,Transmission-Class8-Heavy-Use,276,0.266,N,4789.88,1996.74,0.88
WC-2023001485,Emission-High-Mileage-Cascadia,339,0.409,N,3724.51,1975.33,-0.43
WC-2023001486,Emission-High-Mileage-Cascadia,339,0.773,N,3724.51,1975.33,0.19
WC-2023001487,Campaign-Related-Defect,1241,0.332,N,4154.73,2330.54,1.3
WC-2023001488,Emission-DPF-Regen-Failure,335,1.376,N,3920.94,2145.67,-0.56
WC-2023001489,Campaign-Related-Defect,1241,1.658,N,4154.73,2330.54,0.98
WC-2023001490,Fuel-System-Cold-Start,390,0.772,N,3525.56,2352.52,-1.09
WC-2023001491,Electrical-Intermittent-Faults,470,3.374,Y,3130.91,1970.63,-0.47
WC-2023001492,Transmission-Class8-Heavy-Use,276,0.265,N,4789.88,1996.74,2.37
WC-2023001493,Fuel-System-Cold-Start,390,1.007,N,3525.56,2352.52,-1.09
WC-2023001494,Campaign-Related-Defect,1241,0.826,N,4154.73,2330.54,0.74
WC-2023001495,Drivetrain-Construction-Fleet,254,1.036,N,4330.36,2909.27,-0.16
WC-2023001496,Campaign-Related-Defect,1241,1.724,N,4154.73,2330.54,-0.47
WC-2023001497,Brake-Rust-Belt-Winter,562,0.548,N,2534.44,1878.53,1.99
WC-2023001498,Campaign-Related-Defect,1241,1.927,N,4154.73,2330.54,1.35
WC-2023001499,Brake-Rust-Belt-Winter,562,1.175,N,2534.44,1878.53,0.67
WC-2023001500,Electrical-Intermittent-Faults,470,0.846,N,3130.91,1970.63,0.5
WC-2023001501,Emission-High-Mileage-Cascadia,339,1.319,N,3724.51,1975.33,-1.0
WC-2023001502,Emission-DPF-Regen-Failure,335,1.02,N,3920.94,2145.67,-1.18
WC-2023001503,Cooling-Summer-Sun-Belt,509,0.363,N,2771.87,2089.92,0.47
WC-2023001504,Campaign-Related-Defect,1241,4.285,Y,4154.73,2330.54,1.1
WC-2023001505,Cooling-Summer-Sun-Belt,509,0.311,N,2771.87,2089.92,-0.27
WC-2023001506,Cooling-Summer-Sun-Belt,509,1.506,N,2771.87,2089.92,-0.19
WC-2023001507,Brake-Rust-Belt-Winter,562,1.382,N,2534.44,1878.53,-1.15
WC-2023001508,Cab-Body-Regional-Distribution,260,1.472,N,2397.55,2071.18,-0.96
WC-2023001509,Drivetrain-Construction-Fleet,254,1.421,N,4330.36,2909.27,0.71
WC-2023001510,Engine-Extended-Warranty,364,0.631,N,4658.44,2195.34,-0.62
WC-2023001511,Campaign-Related-Defect,1241,1.055,N,4154.73,2330.54,0.35
WC-2023001512,Engine-Extended-Warranty,364,1.686,N,4658.44,2195.34,-0.31
WC-2023001513,Campaign-Related-Defect,1241,1.186,N,4154.73,2330.54,0.44
WC-2023001514,Cab-Body-Regional-Distribution,260,1.98,N,2397.55,2071.18,-0.96
WC-2023001515,Drivetrain-Construction-Fleet,254,1.788,N,4330.36,2909.27,0.32
WC-2023001516,Cab-Body-Regional-Distribution,260,0.366,N,2397.55,2071.18,0.62
WC-2023001517,Cooling-Summer-Sun-Belt,509,1.263,N,2771.87,2089.92,3.66
WC-2023001518,Electrical-Intermittent-Faults,470,0.699,N,3130.91,1970.63,-0.86
WC-2023001519,Emission-High-Mileage-Cascadia,339,0.207,N,3724.51,1975.33,-0.8
WC-2023001520,Brake-Rust-Belt-Winter,562,1.325,N,2534.44,1878.53,-0.39
WC-2023001521,Engine-Extended-Warranty,364,1.355,N,4658.44,2195.34,-0.91
WC-2023001522,Electrical-Intermittent-Faults,470,1.138,N,3130.91,1970.63,0.57
WC-2023001523,Campaign-Related-Defect,1241,1.328,N,4154.73,2330.54,-0.23
WC-2023001524,Campaign-Related-Defect,1241,0.68,N,4154.73,2330.54,0.97
WC-2023001525,Campaign-Related-Defect,1241,1.624,N,4154.73,2330.54,0.45
WC-2023001526,Brake-Rust-Belt-Winter,562,1.854,N,2534.44,1878.53,-0.43
WC-2023001527,Campaign-Related-Defect,1241,1.026,N,4154.73,2330.54,-1.38
WC-2023001528,Drivetrain-Construction-Fleet,254,0.692,N,4330.36,2909.27,-0.92
WC-2023001529,Fuel-System-Cold-Start,390,1.522,N,3525.56,2352.52,0.83
WC-2023001530,Campaign-Related-Defect,1241,0.556,N,4154.73,2330.54,0.05
WC-2023001531,Emission-DPF-Regen-Failure,335,0.815,N,3920.94,2145.67,1.11
WC-2023001532,Cooling-Summer-Sun-Belt,509,1.719,N,2771.87,2089.92,-0.73
WC-2023001533,Emission-High-Mileage-Cascadia,339,0.973,N,3724.51,1975.33,0.21
WC-2023001534,Brake-Rust-Belt-Winter,562,0.487,N,2534.44,1878.53,-0.11
WC-2023001535,Transmission-Class8-Heavy-Use,276,0.612,N,4789.88,1996.74,0.16
WC-2023001536,Cooling-Summer-Sun-Belt,509,1.507,N,2771.87,2089.92,0.28
WC-2023001537,Campaign-Related-Defect,1241,0.244,N,4154.73,2330.54,1.03
WC-2023001538,Cooling-Summer-Sun-Belt,509,1.321,N,2771.87,2089.92,-1.12
WC-2023001539,Emission-High-Mileage-Cascadia,339,1.812,N,3724.51,1975.33,-0.43
WC-2023001540,Campaign-Related-Defect,1241,1.299,N,4154.73,2330.54,-0.46
WC-2023001541,Cooling-Summer-Sun-Belt,509,0.34,N,2771.87,2089.92,-0.77
WC-2023001542,Cooling-Summer-Sun-Belt,509,0.525,N,2771.87,2089.92,0.47
WC-2023001543,Campaign-Related-Defect,1241,1.982,N,4154.73,2330.54,0.04
WC-2023001544,Brake-Rust-Belt-Winter,562,1.446,N,2534.44,1878.53,-0.84
WC-2023001545,Brake-Rust-Belt-Winter,562,0.531,N,2534.44,1878.53,-0.64
WC-2023001546,Emission-DPF-Regen-Failure,335,1.483,N,3920.94,2145.67,-1.42
WC-2023001547,Engine-Extended-Warranty,364,1.585,N,4658.44,2195.34,-1.16
WC-2023001548,Brake-Rust-Belt-Winter,562,0.451,N,2534.44,1878.53,3.99
WC-2023001549,Brake-Rust-Belt-Winter,562,1.661,N,2534.44,1878.53,-1.08
WC-2023001550,Electrical-Intermittent-Faults,470,0.674,N,3130.91,1970.63,-0.89
WC-2023001551,Electrical-Intermittent-Faults,470,1.085,N,3130.91,1970.63,-0.56
WC-2023001552,Campaign-Related-Defect,1241,1.733,N,4154.73,2330.54,-0.07
WC-2023001553,Drivetrain-Construction-Fleet,254,1.007,N,4330.36,2909.27,-0.76
WC-2023001554,Fuel-System-Cold-Start,390,1.997,N,3525.56,2352.52,0.96
WC-2023001555,Engine-Extended-Warranty,364,1.163,N,4658.44,2195.34,-0.03
WC-2023001556,Brake-Rust-Belt-Winter,562,1.489,N,2534.44,1878.53,0.39
WC-2023001557,Drivetrain-Construction-Fleet,254,4.222,Y,4330.36,2909.27,-0.12
WC-2023001558,Emission-DPF-Regen-Failure,335,0.223,N,3920.94,2145.67,0.04
WC-2023001559,Engine-Extended-Warranty,364,1.433,N,4658.44,2195.34,-0.31
WC-2023001560,Campaign-Related-Defect,1241,0.432,N,4154.73,2330.54,-1.24
WC-2023001561,Cab-Body-Regional-Distribution,260,1.469,N,2397.55,2071.18,0.01
WC-2023001562,Emission-High-Mileage-Cascadia,339,1.751,N,3724.51,1975.33,-0.23
WC-2023001563,Cooling-Summer-Sun-Belt,509,1.287,N,2771.87,2089.92,-0.48
WC-2023001564,Transmission-Class8-Heavy-Use,276,0.606,N,4789.88,1996.74,-0.62
WC-2023001565,Emission-DPF-Regen-Failure,335,1.243,N,3920.94,2145.67,-0.29
WC-2023001566,Campaign-Related-Defect,1241,1.525,N,4154.73,2330.54,-0.89
WC-2023001567,Emission-DPF-Regen-Failure,335,1.851,N,3920.94,2145.67,-0.46
WC-2023001568,Emission-DPF-Regen-Failure,335,1.468,N,3920.94,2145.67,-0.37
WC-2023001569,Campaign-Related-Defect,1241,2.194,N,4154.73,2330.54,1.99
WC-2023001570,Emission-High-Mileage-Cascadia,339,1.481,N,3724.51,1975.33,0.3
WC-2023001571,Brake-Rust-Belt-Winter,562,1.496,N,2534.44,1878.53,0.81
WC-2023001572,Engine-Extended-Warranty,364,0.344,N,4658.44,2195.34,-1.25
WC-2023001573,Cab-Body-Regional-Distribution,260,1.342,N,2397.55,2071.18,-0.88
WC-2023001574,Campaign-Related-Defect,1241,1.672,N,4154.73,2330.54,0.23
WC-2023001575,Emission-High-Mileage-Cascadia,339,1.525,N,3724.51,1975.33,0.15
WC-2023001576,Campaign-Related-Defect,1241,0.642,N,4154.73,2330.54,-1.18
WC-2023001577,Campaign-Related-Defect,1241,4.284,Y,4154.73,2330.54,0.08
WC-2023001578,Emission-High-Mileage-Cascadia,339,1.673,N,3724.51,1975.33,0.31
WC-2023001579,Drivetrain-Construction-Fleet,254,0.362,N,4330.36,2909.27,-1.37
WC-2023001580,Cab-Body-Regional-Distribution,260,0.768,N,2397.55,2071.18,-0.36
WC-2023001581,Electrical-Intermittent-Faults,470,1.838,N,3130.91,1970.63,0.54
WC-2023001582,Transmission-Class8-Heavy-Use,276,0.91,N,4789.88,1996.74,1.73
WC-2023001583,Campaign-Related-Defect,1241,0.232,N,4154.73,2330.54,-1.1
WC-2023001584,Engine-Extended-Warranty,364,1.447,N,4658.44,2195.34,-1.24
WC-2023001585,Fuel-System-Cold-Start,390,0.263,N,3525.56,2352.52,0.71
WC-2023001586,Transmission-Class8-Heavy-Use,276,1.538,N,4789.88,1996.74,0.04
WC-2023001587,Emission-DPF-Regen-Failure,335,1.819,N,3920.94,2145.67,0.93
WC-2023001588,Electrical-Intermittent-Faults,470,1.956,N,3130.91,1970.63,-1.39
WC-2023001589,Cooling-Summer-Sun-Belt,509,1.277,N,2771.87,2089.92,-0.55
