pfp_id,part_number,part_description,model_name,model_year,vehicles_in_population,expected_failure_rate_per_1000,actual_failure_count,actual_failure_rate_per_1000,deviation_pct,trend,period,last_updated
PFP-00188,A-960-501-05-00,Thermostat Housing,Western Star 49X,2024,5748,1.15,6,1.04,-9.6,Increasing,2024-FY,2025-12-01
PFP-00189,A-960-501-05-00,Thermostat Housing,Freightliner 108SD,2021,2039,4.72,11,5.39,14.2,Spike,2021-FY,2025-12-01
PFP-00190,A-960-501-05-00,Thermostat Housing,Freightliner 108SD,2022,2160,5.71,10,4.63,-18.9,Increasing,2022-FY,2025-12-01
PFP-00191,A-960-501-05-00,Thermostat Housing,Freightliner 108SD,2023,568,7.22,7,12.32,70.6,Spike,2023-FY,2025-12-01
PFP-00192,A-960-501-05-00,Thermostat Housing,Freightliner 108SD,2024,13949,0.58,7,0.5,-13.8,Spike,2024-FY,2025-12-01
PFP-00193,A-960-501-05-00,Thermostat Housing,Western Star 47X,2021,9076,4.55,3,0.33,-92.7,Spike,2021-FY,2025-12-01
PFP-00194,A-960-501-05-00,Thermostat Housing,Western Star 47X,2022,3313,4.92,8,2.41,-51.0,Increasing,2022-FY,2025-12-01
PFP-00195,A-960-501-05-00,Thermostat Housing,Western Star 47X,2023,3721,6.27,30,8.06,28.5,Decreasing,2023-FY,2025-12-01
PFP-00196,A-960-501-05-00,Thermostat Housing,Western Star 47X,2024,14454,6.8,5,0.35,-94.9,Stable,2024-FY,2025-12-01
PFP-00197,A-001-997-55-45,Fuel Injector (each),Freightliner 114SD,2021,2263,7.27,6,2.65,-63.5,Decreasing,2021-FY,2025-12-01
PFP-00198,A-001-997-55-45,Fuel Injector (each),Freightliner 114SD,2022,13636,4.3,10,0.73,-83.0,Decreasing,2022-FY,2025-12-01
PFP-00199,A-001-997-55-45,Fuel Injector (each),Freightliner 114SD,2023,13316,6.68,98,7.36,10.2,Increasing,2023-FY,2025-12-01
PFP-00200,A-001-997-55-45,Fuel Injector (each),Freightliner 114SD,2024,9027,5.47,4,0.44,-92.0,Stable,2024-FY,2025-12-01
PFP-00201,A-001-997-55-45,Fuel Injector (each),Freightliner M2 112,2021,13654,2.89,5,0.37,-87.2,Spike,2021-FY,2025-12-01
PFP-00202,A-001-997-55-45,Fuel Injector (each),Freightliner M2 112,2022,14376,3.53,29,2.02,-42.8,Stable,2022-FY,2025-12-01
PFP-00203,A-001-997-55-45,Fuel Injector (each),Freightliner M2 112,2023,7411,4.45,8,1.08,-75.7,Stable,2023-FY,2025-12-01
PFP-00204,A-001-997-55-45,Fuel Injector (each),Freightliner M2 112,2024,10729,6.42,84,7.83,22.0,Stable,2024-FY,2025-12-01
PFP-00205,A-001-997-55-45,Fuel Injector (each),Freightliner Cascadia,2021,10407,7.3,66,6.34,-13.2,Stable,2021-FY,2025-12-01
PFP-00206,A-001-997-55-45,Fuel Injector (each),Freightliner Cascadia,2022,11714,6.69,95,8.11,21.2,Increasing,2022-FY,2025-12-01
PFP-00207,A-001-997-55-45,Fuel Injector (each),Freightliner Cascadia,2023,10239,5.06,50,4.88,-3.6,Stable,2023-FY,2025-12-01
PFP-00208,A-001-997-55-45,Fuel Injector (each),Freightliner Cascadia,2024,768,2.7,4,5.21,93.0,Increasing,2024-FY,2025-12-01
PFP-00209,A-001-997-55-45,Fuel Injector (each),Freightliner M2 106,2021,2104,1.27,4,1.9,49.6,Increasing,2021-FY,2025-12-01
PFP-00210,A-001-997-55-45,Fuel Injector (each),Freightliner M2 106,2022,6350,4.0,28,4.41,10.3,Increasing,2022-FY,2025-12-01
PFP-00211,A-001-997-55-45,Fuel Injector (each),Freightliner M2 106,2023,2279,0.88,3,1.32,50.0,Increasing,2023-FY,2025-12-01
PFP-00212,A-001-997-55-45,Fuel Injector (each),Freightliner M2 106,2024,7039,7.0,41,5.82,-16.9,Increasing,2024-FY,2025-12-01
PFP-00213,A-001-997-55-45,Fuel Injector (each),Western Star 49X,2021,5261,3.67,16,3.04,-17.2,Spike,2021-FY,2025-12-01
PFP-00214,A-001-997-55-45,Fuel Injector (each),Western Star 49X,2022,5947,2.59,24,4.04,56.0,Increasing,2022-FY,2025-12-01
PFP-00215,A-001-997-55-45,Fuel Injector (each),Western Star 49X,2023,825,6.41,1,1.21,-81.1,Spike,2023-FY,2025-12-01
PFP-00216,A-001-997-55-45,Fuel Injector (each),Western Star 49X,2024,14010,6.15,79,5.64,-8.3,Increasing,2024-FY,2025-12-01
PFP-00217,A-001-997-55-45,Fuel Injector (each),Freightliner 108SD,2021,2854,3.02,7,2.45,-18.9,Stable,2021-FY,2025-12-01
PFP-00218,A-001-997-55-45,Fuel Injector (each),Freightliner 108SD,2022,7522,2.43,5,0.66,-72.8,Spike,2022-FY,2025-12-01
PFP-00219,A-001-997-55-45,Fuel Injector (each),Freightliner 108SD,2023,6748,6.21,13,1.93,-68.9,Stable,2023-FY,2025-12-01
PFP-00220,A-001-997-55-45,Fuel Injector (each),Freightliner 108SD,2024,5334,6.55,42,7.87,20.2,Decreasing,2024-FY,2025-12-01
PFP-00221,A-001-997-55-45,Fuel Injector (each),Western Star 47X,2021,10555,7.42,92,8.72,17.5,Decreasing,2021-FY,2025-12-01
PFP-00222,A-001-997-55-45,Fuel Injector (each),Western Star 47X,2022,582,5.67,1,1.72,-69.7,Increasing,2022-FY,2025-12-01
PFP-00223,A-001-997-55-45,Fuel Injector (each),Western Star 47X,2023,1987,4.22,9,4.53,7.3,Decreasing,2023-FY,2025-12-01
PFP-00224,A-001-997-55-45,Fuel Injector (each),Western Star 47X,2024,6964,3.92,29,4.16,6.1,Increasing,2024-FY,2025-12-01
PFP-00225,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 114SD,2021,8066,2.66,17,2.11,-20.7,Stable,2021-FY,2025-12-01
PFP-00226,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 114SD,2022,14842,5.23,80,5.39,3.1,Increasing,2022-FY,2025-12-01
PFP-00227,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 114SD,2023,6495,2.14,21,3.23,50.9,Increasing,2023-FY,2025-12-01
PFP-00228,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 114SD,2024,13400,3.72,71,5.3,42.5,Spike,2024-FY,2025-12-01
PFP-00229,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 112,2021,14610,6.89,132,9.03,31.1,Stable,2021-FY,2025-12-01
PFP-00230,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 112,2022,6153,2.41,18,2.93,21.6,Stable,2022-FY,2025-12-01
PFP-00231,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 112,2023,3286,3.73,7,2.13,-42.9,Decreasing,2023-FY,2025-12-01
PFP-00232,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 112,2024,9611,1.72,8,0.83,-51.7,Stable,2024-FY,2025-12-01
PFP-00233,A-001-997-60-12,High Pressure Fuel Pump,Freightliner Cascadia,2021,1277,7.37,5,3.92,-46.8,Stable,2021-FY,2025-12-01
PFP-00234,A-001-997-60-12,High Pressure Fuel Pump,Freightliner Cascadia,2022,10031,5.89,51,5.08,-13.8,Increasing,2022-FY,2025-12-01
PFP-00235,A-001-997-60-12,High Pressure Fuel Pump,Freightliner Cascadia,2023,13095,6.01,50,3.82,-36.4,Decreasing,2023-FY,2025-12-01
PFP-00236,A-001-997-60-12,High Pressure Fuel Pump,Freightliner Cascadia,2024,14379,2.54,31,2.16,-15.0,Spike,2024-FY,2025-12-01
PFP-00237,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 106,2021,9957,5.29,13,1.31,-75.2,Increasing,2021-FY,2025-12-01
PFP-00238,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 106,2022,3133,6.76,13,4.15,-38.6,Stable,2022-FY,2025-12-01
PFP-00239,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 106,2023,12775,7.65,74,5.79,-24.3,Decreasing,2023-FY,2025-12-01
PFP-00240,A-001-997-60-12,High Pressure Fuel Pump,Freightliner M2 106,2024,14609,7.0,150,10.27,46.7,Increasing,2024-FY,2025-12-01
PFP-00241,A-001-997-60-12,High Pressure Fuel Pump,Western Star 49X,2021,2260,4.91,13,5.75,17.1,Increasing,2021-FY,2025-12-01
PFP-00242,A-001-997-60-12,High Pressure Fuel Pump,Western Star 49X,2022,12934,2.07,1,0.08,-96.1,Stable,2022-FY,2025-12-01
PFP-00243,A-001-997-60-12,High Pressure Fuel Pump,Western Star 49X,2023,7060,3.15,8,1.13,-64.1,Decreasing,2023-FY,2025-12-01
PFP-00244,A-001-997-60-12,High Pressure Fuel Pump,Western Star 49X,2024,5551,6.42,34,6.13,-4.5,Spike,2024-FY,2025-12-01
PFP-00245,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 108SD,2021,1989,4.7,10,5.03,7.0,Decreasing,2021-FY,2025-12-01
PFP-00246,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 108SD,2022,2302,0.79,3,1.3,64.6,Spike,2022-FY,2025-12-01
PFP-00247,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 108SD,2023,14541,3.84,54,3.71,-3.4,Increasing,2023-FY,2025-12-01
PFP-00248,A-001-997-60-12,High Pressure Fuel Pump,Freightliner 108SD,2024,2347,0.7,3,1.28,82.9,Stable,2024-FY,2025-12-01
PFP-00249,A-001-997-60-12,High Pressure Fuel Pump,Western Star 47X,2021,4514,3.72,15,3.32,-10.8,Decreasing,2021-FY,2025-12-01
PFP-00250,A-001-997-60-12,High Pressure Fuel Pump,Western Star 47X,2022,6118,4.35,34,5.56,27.8,Stable,2022-FY,2025-12-01
PFP-00251,A-001-997-60-12,High Pressure Fuel Pump,Western Star 47X,2023,6299,3.26,20,3.18,-2.5,Decreasing,2023-FY,2025-12-01
PFP-00252,A-001-997-60-12,High Pressure Fuel Pump,Western Star 47X,2024,8205,3.91,13,1.58,-59.6,Stable,2024-FY,2025-12-01
PFP-00253,A-460-420-03-00,Brake Caliper Assembly,Freightliner 114SD,2021,12007,6.51,49,4.08,-37.3,Stable,2021-FY,2025-12-01
PFP-00254,A-460-420-03-00,Brake Caliper Assembly,Freightliner 114SD,2022,13216,7.75,18,1.36,-82.5,Spike,2022-FY,2025-12-01
PFP-00255,A-460-420-03-00,Brake Caliper Assembly,Freightliner 114SD,2023,6623,2.85,15,2.26,-20.7,Increasing,2023-FY,2025-12-01
PFP-00256,A-460-420-03-00,Brake Caliper Assembly,Freightliner 114SD,2024,13548,3.07,45,3.32,8.1,Stable,2024-FY,2025-12-01
PFP-00257,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 112,2021,8786,5.0,49,5.58,11.6,Spike,2021-FY,2025-12-01
PFP-00258,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 112,2022,13891,6.03,118,8.49,40.8,Stable,2022-FY,2025-12-01
PFP-00259,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 112,2023,1295,7.49,8,6.18,-17.5,Increasing,2023-FY,2025-12-01
PFP-00260,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 112,2024,1245,6.95,5,4.02,-42.2,Decreasing,2024-FY,2025-12-01
PFP-00261,A-460-420-03-00,Brake Caliper Assembly,Freightliner Cascadia,2021,4205,2.79,15,3.57,28.0,Decreasing,2021-FY,2025-12-01
PFP-00262,A-460-420-03-00,Brake Caliper Assembly,Freightliner Cascadia,2022,6696,2.22,20,2.99,34.7,Stable,2022-FY,2025-12-01
PFP-00263,A-460-420-03-00,Brake Caliper Assembly,Freightliner Cascadia,2023,11592,4.68,81,6.99,49.4,Decreasing,2023-FY,2025-12-01
PFP-00264,A-460-420-03-00,Brake Caliper Assembly,Freightliner Cascadia,2024,2058,3.91,9,4.37,11.8,Spike,2024-FY,2025-12-01
PFP-00265,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 106,2021,5114,3.44,14,2.74,-20.3,Spike,2021-FY,2025-12-01
PFP-00266,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 106,2022,4073,2.09,13,3.19,52.6,Decreasing,2022-FY,2025-12-01
PFP-00267,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 106,2023,4287,3.23,7,1.63,-49.5,Increasing,2023-FY,2025-12-01
PFP-00268,A-460-420-03-00,Brake Caliper Assembly,Freightliner M2 106,2024,7238,1.17,12,1.66,41.9,Spike,2024-FY,2025-12-01
PFP-00269,A-460-420-03-00,Brake Caliper Assembly,Western Star 49X,2021,8202,0.56,1,0.12,-78.6,Stable,2021-FY,2025-12-01
PFP-00270,A-460-420-03-00,Brake Caliper Assembly,Western Star 49X,2022,4411,0.9,6,1.36,51.1,Stable,2022-FY,2025-12-01
PFP-00271,A-460-420-03-00,Brake Caliper Assembly,Western Star 49X,2023,6390,0.99,4,0.63,-36.4,Stable,2023-FY,2025-12-01
PFP-00272,A-460-420-03-00,Brake Caliper Assembly,Western Star 49X,2024,3023,6.87,29,9.59,39.6,Increasing,2024-FY,2025-12-01
PFP-00273,A-460-420-03-00,Brake Caliper Assembly,Freightliner 108SD,2021,14912,1.89,22,1.48,-21.7,Stable,2021-FY,2025-12-01
PFP-00274,A-460-420-03-00,Brake Caliper Assembly,Freightliner 108SD,2022,5549,4.87,16,2.88,-40.9,Increasing,2022-FY,2025-12-01
PFP-00275,A-460-420-03-00,Brake Caliper Assembly,Freightliner 108SD,2023,7666,4.0,20,2.61,-34.8,Spike,2023-FY,2025-12-01
PFP-00276,A-460-420-03-00,Brake Caliper Assembly,Freightliner 108SD,2024,9699,1.2,4,0.41,-65.8,Stable,2024-FY,2025-12-01
PFP-00277,A-460-420-03-00,Brake Caliper Assembly,Western Star 47X,2021,7627,4.81,28,3.67,-23.7,Stable,2021-FY,2025-12-01
PFP-00278,A-460-420-03-00,Brake Caliper Assembly,Western Star 47X,2022,5905,0.73,1,0.17,-76.7,Increasing,2022-FY,2025-12-01
PFP-00279,A-460-420-03-00,Brake Caliper Assembly,Western Star 47X,2023,3267,3.29,9,2.75,-16.4,Decreasing,2023-FY,2025-12-01
PFP-00280,A-460-420-03-00,Brake Caliper Assembly,Western Star 47X,2024,6483,1.39,8,1.23,-11.5,Increasing,2024-FY,2025-12-01
PFP-00281,A-960-320-10-01,Radiator Assembly,Freightliner 114SD,2021,5519,4.91,24,4.35,-11.4,Stable,2021-FY,2025-12-01
PFP-00282,A-960-320-10-01,Radiator Assembly,Freightliner 114SD,2022,4485,4.3,10,2.23,-48.1,Increasing,2022-FY,2025-12-01
PFP-00283,A-960-320-10-01,Radiator Assembly,Freightliner 114SD,2023,14813,5.84,85,5.74,-1.7,Increasing,2023-FY,2025-12-01
PFP-00284,A-960-320-10-01,Radiator Assembly,Freightliner 114SD,2024,8199,4.26,41,5.0,17.4,Decreasing,2024-FY,2025-12-01
PFP-00285,A-960-320-10-01,Radiator Assembly,Freightliner M2 112,2021,13736,3.05,46,3.35,9.8,Stable,2021-FY,2025-12-01
PFP-00286,A-960-320-10-01,Radiator Assembly,Freightliner M2 112,2022,8622,1.68,16,1.86,10.7,Decreasing,2022-FY,2025-12-01
PFP-00287,A-960-320-10-01,Radiator Assembly,Freightliner M2 112,2023,1209,7.02,8,6.62,-5.7,Stable,2023-FY,2025-12-01
PFP-00288,A-960-320-10-01,Radiator Assembly,Freightliner M2 112,2024,7338,7.73,55,7.5,-3.0,Decreasing,2024-FY,2025-12-01
PFP-00289,A-960-320-10-01,Radiator Assembly,Freightliner Cascadia,2021,14516,7.55,11,0.76,-89.9,Stable,2021-FY,2025-12-01
PFP-00290,A-960-320-10-01,Radiator Assembly,Freightliner Cascadia,2022,1370,1.23,2,1.46,18.7,Stable,2022-FY,2025-12-01
PFP-00291,A-960-320-10-01,Radiator Assembly,Freightliner Cascadia,2023,13672,7.92,82,6.0,-24.2,Decreasing,2023-FY,2025-12-01
PFP-00292,A-960-320-10-01,Radiator Assembly,Freightliner Cascadia,2024,10176,5.1,73,7.17,40.6,Increasing,2024-FY,2025-12-01
PFP-00293,A-960-320-10-01,Radiator Assembly,Freightliner M2 106,2021,9737,5.66,51,5.24,-7.4,Decreasing,2021-FY,2025-12-01
PFP-00294,A-960-320-10-01,Radiator Assembly,Freightliner M2 106,2022,11458,6.9,40,3.49,-49.4,Decreasing,2022-FY,2025-12-01
PFP-00295,A-960-320-10-01,Radiator Assembly,Freightliner M2 106,2023,3277,7.49,4,1.22,-83.7,Spike,2023-FY,2025-12-01
PFP-00296,A-960-320-10-01,Radiator Assembly,Freightliner M2 106,2024,9702,1.87,10,1.03,-44.9,Stable,2024-FY,2025-12-01
PFP-00297,A-960-320-10-01,Radiator Assembly,Western Star 49X,2021,2166,1.25,5,2.31,84.8,Decreasing,2021-FY,2025-12-01
PFP-00298,A-960-320-10-01,Radiator Assembly,Western Star 49X,2022,3406,4.75,11,3.23,-32.0,Spike,2022-FY,2025-12-01
PFP-00299,A-960-320-10-01,Radiator Assembly,Western Star 49X,2023,1276,1.0,1,0.78,-22.0,Stable,2023-FY,2025-12-01
PFP-00300,A-960-320-10-01,Radiator Assembly,Western Star 49X,2024,9723,5.43,72,7.41,36.5,Increasing,2024-FY,2025-12-01
PFP-00301,A-960-320-10-01,Radiator Assembly,Freightliner 108SD,2021,4852,0.61,4,0.82,34.4,Increasing,2021-FY,2025-12-01
PFP-00302,A-960-320-10-01,Radiator Assembly,Freightliner 108SD,2022,14722,1.38,5,0.34,-75.4,Stable,2022-FY,2025-12-01
PFP-00303,A-960-320-10-01,Radiator Assembly,Freightliner 108SD,2023,1030,7.25,5,4.85,-33.1,Increasing,2023-FY,2025-12-01
PFP-00304,A-960-320-10-01,Radiator Assembly,Freightliner 108SD,2024,1809,3.34,5,2.76,-17.4,Stable,2024-FY,2025-12-01
PFP-00305,A-960-320-10-01,Radiator Assembly,Western Star 47X,2021,5200,7.74,10,1.92,-75.2,Spike,2021-FY,2025-12-01
PFP-00306,A-960-320-10-01,Radiator Assembly,Western Star 47X,2022,4062,0.62,4,0.98,58.1,Decreasing,2022-FY,2025-12-01
PFP-00307,A-960-320-10-01,Radiator Assembly,Western Star 47X,2023,7723,3.86,42,5.44,40.9,Decreasing,2023-FY,2025-12-01
PFP-00308,A-960-320-10-01,Radiator Assembly,Western Star 47X,2024,14273,6.67,99,6.94,4.0,Decreasing,2024-FY,2025-12-01
PFP-00309,A-001-030-45-56,Starter Motor,Freightliner 114SD,2021,714,3.52,4,5.6,59.1,Increasing,2021-FY,2025-12-01
PFP-00310,A-001-030-45-56,Starter Motor,Freightliner 114SD,2022,3632,4.4,19,5.23,18.9,Decreasing,2022-FY,2025-12-01
PFP-00311,A-001-030-45-56,Starter Motor,Freightliner 114SD,2023,3899,3.35,7,1.8,-46.3,Spike,2023-FY,2025-12-01
PFP-00312,A-001-030-45-56,Starter Motor,Freightliner 114SD,2024,3547,3.29,11,3.1,-5.8,Increasing,2024-FY,2025-12-01
PFP-00313,A-001-030-45-56,Starter Motor,Freightliner M2 112,2021,9680,6.94,64,6.61,-4.8,Spike,2021-FY,2025-12-01
PFP-00314,A-001-030-45-56,Starter Motor,Freightliner M2 112,2022,9139,7.12,34,3.72,-47.8,Spike,2022-FY,2025-12-01
PFP-00315,A-001-030-45-56,Starter Motor,Freightliner M2 112,2023,3944,3.09,9,2.28,-26.2,Decreasing,2023-FY,2025-12-01
PFP-00316,A-001-030-45-56,Starter Motor,Freightliner M2 112,2024,2708,2.34,6,2.22,-5.1,Spike,2024-FY,2025-12-01
PFP-00317,A-001-030-45-56,Starter Motor,Freightliner Cascadia,2021,10157,5.31,69,6.79,27.9,Spike,2021-FY,2025-12-01
PFP-00318,A-001-030-45-56,Starter Motor,Freightliner Cascadia,2022,9207,2.04,13,1.41,-30.9,Increasing,2022-FY,2025-12-01
PFP-00319,A-001-030-45-56,Starter Motor,Freightliner Cascadia,2023,12386,5.84,19,1.53,-73.8,Stable,2023-FY,2025-12-01
PFP-00320,A-001-030-45-56,Starter Motor,Freightliner Cascadia,2024,7387,5.53,6,0.81,-85.4,Spike,2024-FY,2025-12-01
PFP-00321,A-001-030-45-56,Starter Motor,Freightliner M2 106,2021,13735,1.67,4,0.29,-82.6,Spike,2021-FY,2025-12-01
PFP-00322,A-001-030-45-56,Starter Motor,Freightliner M2 106,2022,3019,7.9,15,4.97,-37.1,Decreasing,2022-FY,2025-12-01
PFP-00323,A-001-030-45-56,Starter Motor,Freightliner M2 106,2023,8182,5.85,7,0.86,-85.3,Decreasing,2023-FY,2025-12-01
PFP-00324,A-001-030-45-56,Starter Motor,Freightliner M2 106,2024,11217,3.36,17,1.52,-54.8,Decreasing,2024-FY,2025-12-01
PFP-00325,A-001-030-45-56,Starter Motor,Western Star 49X,2021,10858,1.27,21,1.93,52.0,Increasing,2021-FY,2025-12-01
PFP-00326,A-001-030-45-56,Starter Motor,Western Star 49X,2022,8217,7.2,16,1.95,-72.9,Increasing,2022-FY,2025-12-01
PFP-00327,A-001-030-45-56,Starter Motor,Western Star 49X,2023,13262,6.4,103,7.77,21.4,Decreasing,2023-FY,2025-12-01
PFP-00328,A-001-030-45-56,Starter Motor,Western Star 49X,2024,5646,6.6,51,9.03,36.8,Spike,2024-FY,2025-12-01
PFP-00329,A-001-030-45-56,Starter Motor,Freightliner 108SD,2021,5681,2.45,19,3.34,36.3,Increasing,2021-FY,2025-12-01
PFP-00330,A-001-030-45-56,Starter Motor,Freightliner 108SD,2022,4967,7.7,47,9.46,22.9,Decreasing,2022-FY,2025-12-01
PFP-00331,A-001-030-45-56,Starter Motor,Freightliner 108SD,2023,1918,7.1,7,3.65,-48.6,Stable,2023-FY,2025-12-01
PFP-00332,A-001-030-45-56,Starter Motor,Freightliner 108SD,2024,6308,5.72,7,1.11,-80.6,Stable,2024-FY,2025-12-01
PFP-00333,A-001-030-45-56,Starter Motor,Western Star 47X,2021,2795,1.65,7,2.5,51.5,Decreasing,2021-FY,2025-12-01
PFP-00334,A-001-030-45-56,Starter Motor,Western Star 47X,2022,2963,6.48,26,8.77,35.3,Stable,2022-FY,2025-12-01
PFP-00335,A-001-030-45-56,Starter Motor,Western Star 47X,2023,2780,1.9,1,0.36,-81.1,Decreasing,2023-FY,2025-12-01
PFP-00336,A-001-030-45-56,Starter Motor,Western Star 47X,2024,8829,7.96,92,10.42,30.9,Spike,2024-FY,2025-12-01
PFP-00337,A-001-030-60-12,Alternator Assembly,Freightliner 114SD,2021,839,5.21,2,2.38,-54.3,Decreasing,2021-FY,2025-12-01
PFP-00338,A-001-030-60-12,Alternator Assembly,Freightliner 114SD,2022,9826,7.96,21,2.14,-73.1,Decreasing,2022-FY,2025-12-01
PFP-00339,A-001-030-60-12,Alternator Assembly,Freightliner 114SD,2023,6255,2.71,24,3.84,41.7,Spike,2023-FY,2025-12-01
PFP-00340,A-001-030-60-12,Alternator Assembly,Freightliner 114SD,2024,10673,1.13,15,1.41,24.8,Decreasing,2024-FY,2025-12-01
PFP-00341,A-001-030-60-12,Alternator Assembly,Freightliner M2 112,2021,13493,4.62,9,0.67,-85.5,Increasing,2021-FY,2025-12-01
PFP-00342,A-001-030-60-12,Alternator Assembly,Freightliner M2 112,2022,8535,7.32,25,2.93,-60.0,Increasing,2022-FY,2025-12-01
PFP-00343,A-001-030-60-12,Alternator Assembly,Freightliner M2 112,2023,9486,7.65,24,2.53,-66.9,Increasing,2023-FY,2025-12-01
PFP-00344,A-001-030-60-12,Alternator Assembly,Freightliner M2 112,2024,14017,6.55,137,9.77,49.2,Spike,2024-FY,2025-12-01
PFP-00345,A-001-030-60-12,Alternator Assembly,Freightliner Cascadia,2021,2185,4.17,11,5.03,20.6,Decreasing,2021-FY,2025-12-01
PFP-00346,A-001-030-60-12,Alternator Assembly,Freightliner Cascadia,2022,14963,6.17,38,2.54,-58.8,Increasing,2022-FY,2025-12-01
PFP-00347,A-001-030-60-12,Alternator Assembly,Freightliner Cascadia,2023,7643,6.96,68,8.9,27.9,Decreasing,2023-FY,2025-12-01
PFP-00348,A-001-030-60-12,Alternator Assembly,Freightliner Cascadia,2024,14706,6.22,122,8.3,33.4,Increasing,2024-FY,2025-12-01
PFP-00349,A-001-030-60-12,Alternator Assembly,Freightliner M2 106,2021,10465,4.93,62,5.92,20.1,Stable,2021-FY,2025-12-01
PFP-00350,A-001-030-60-12,Alternator Assembly,Freightliner M2 106,2022,1420,3.16,1,0.7,-77.8,Stable,2022-FY,2025-12-01
PFP-00351,A-001-030-60-12,Alternator Assembly,Freightliner M2 106,2023,4774,3.24,13,2.72,-16.0,Increasing,2023-FY,2025-12-01
PFP-00352,A-001-030-60-12,Alternator Assembly,Freightliner M2 106,2024,11581,4.52,15,1.3,-71.2,Spike,2024-FY,2025-12-01
PFP-00353,A-001-030-60-12,Alternator Assembly,Western Star 49X,2021,7853,4.83,18,2.29,-52.6,Spike,2021-FY,2025-12-01
PFP-00354,A-001-030-60-12,Alternator Assembly,Western Star 49X,2022,4347,3.69,13,2.99,-19.0,Decreasing,2022-FY,2025-12-01
PFP-00355,A-001-030-60-12,Alternator Assembly,Western Star 49X,2023,11339,6.78,17,1.5,-77.9,Increasing,2023-FY,2025-12-01
PFP-00356,A-001-030-60-12,Alternator Assembly,Western Star 49X,2024,6418,5.63,48,7.48,32.9,Decreasing,2024-FY,2025-12-01
PFP-00357,A-001-030-60-12,Alternator Assembly,Freightliner 108SD,2021,14424,1.4,22,1.53,9.3,Stable,2021-FY,2025-12-01
PFP-00358,A-001-030-60-12,Alternator Assembly,Freightliner 108SD,2022,3766,7.33,9,2.39,-67.4,Increasing,2022-FY,2025-12-01
PFP-00359,A-001-030-60-12,Alternator Assembly,Freightliner 108SD,2023,6788,0.74,4,0.59,-20.3,Increasing,2023-FY,2025-12-01
PFP-00360,A-001-030-60-12,Alternator Assembly,Freightliner 108SD,2024,5502,6.1,33,6.0,-1.6,Decreasing,2024-FY,2025-12-01
PFP-00361,A-001-030-60-12,Alternator Assembly,Western Star 47X,2021,9085,7.62,82,9.03,18.5,Spike,2021-FY,2025-12-01
PFP-00362,A-001-030-60-12,Alternator Assembly,Western Star 47X,2022,13903,2.02,21,1.51,-25.2,Spike,2022-FY,2025-12-01
PFP-00363,A-001-030-60-12,Alternator Assembly,Western Star 47X,2023,11351,0.91,16,1.41,54.9,Stable,2023-FY,2025-12-01
PFP-00364,A-001-030-60-12,Alternator Assembly,Western Star 47X,2024,13055,5.96,74,5.67,-4.9,Increasing,2024-FY,2025-12-01
PFP-00365,A-001-545-90-00,Intercooler,Freightliner 114SD,2021,5798,0.67,2,0.34,-49.3,Increasing,2021-FY,2025-12-01
PFP-00366,A-001-545-90-00,Intercooler,Freightliner 114SD,2022,7771,3.52,16,2.06,-41.5,Spike,2022-FY,2025-12-01
PFP-00367,A-001-545-90-00,Intercooler,Freightliner 114SD,2023,5334,3.33,12,2.25,-32.4,Decreasing,2023-FY,2025-12-01
PFP-00368,A-001-545-90-00,Intercooler,Freightliner 114SD,2024,5401,3.22,17,3.15,-2.2,Stable,2024-FY,2025-12-01
PFP-00369,A-001-545-90-00,Intercooler,Freightliner M2 112,2021,7158,2.64,1,0.14,-94.7,Spike,2021-FY,2025-12-01
PFP-00370,A-001-545-90-00,Intercooler,Freightliner M2 112,2022,4941,3.02,6,1.21,-59.9,Spike,2022-FY,2025-12-01
PFP-00371,A-001-545-90-00,Intercooler,Freightliner M2 112,2023,2433,6.46,6,2.47,-61.8,Decreasing,2023-FY,2025-12-01
PFP-00372,A-001-545-90-00,Intercooler,Freightliner M2 112,2024,5086,1.87,4,0.79,-57.8,Spike,2024-FY,2025-12-01
PFP-00373,A-001-545-90-00,Intercooler,Freightliner Cascadia,2021,10188,4.66,29,2.85,-38.8,Decreasing,2021-FY,2025-12-01
