audit_id,claim_id,action,action_date,performed_by,role,previous_status,new_status,notes,routing_rule
AUD-001337,WC-2023000561,Submitted,2024-06-20 00:00:00,DLR-003-TECH-09,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001338,WC-2023000561,Routed,2024-06-21 22:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001339,WC-2023000561,Approved,2024-06-26 18:00:00,REVIEWER-12,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001340,WC-2023000562,Submitted,2025-01-02 00:00:00,DLR-009-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001341,WC-2023000562,Routed,2025-01-02 07:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-15.,LOW_RISK_AUTO_APPROVE
AUD-001342,WC-2023000562,Rejected,2025-01-04 12:00:00,REVIEWER-15,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-001343,WC-2023000563,Submitted,2025-05-15 00:00:00,DLR-001-TECH-14,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001344,WC-2023000563,Routed,2025-05-15 13:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 39. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-001345,WC-2023000564,Submitted,2023-05-16 00:00:00,DLR-009-TECH-03,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001346,WC-2023000564,Routed,2023-05-16 22:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 18. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-001347,WC-2023000565,Submitted,2023-08-18 00:00:00,DLR-006-TECH-07,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001348,WC-2023000565,Routed,2023-08-19 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 7. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-001349,WC-2023000565,Approved,2023-08-21 08:00:00,REVIEWER-05,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001350,WC-2023000566,Submitted,2023-03-26 00:00:00,DLR-019-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001351,WC-2023000566,Routed,2023-03-27 18:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 58. Routed to REVIEWER-09.,BORDERLINE_RISK_SPOT_CHECK
AUD-001352,WC-2023000567,Submitted,2025-02-25 00:00:00,DLR-003-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001353,WC-2023000567,Routed,2025-02-25 08:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 16. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-001354,WC-2023000568,Submitted,2024-08-04 00:00:00,DLR-004-TECH-06,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001355,WC-2023000568,Routed,2024-08-04 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 21. Routed to REVIEWER-14.,LOW_RISK_AUTO_APPROVE
AUD-001356,WC-2023000569,Submitted,2023-01-09 00:00:00,DLR-019-TECH-04,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001357,WC-2023000569,Routed,2023-01-09 22:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 5. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-001358,WC-2023000570,Submitted,2024-07-28 00:00:00,DLR-008-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001359,WC-2023000570,Routed,2024-07-28 20:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 16. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-001360,WC-2023000571,Submitted,2024-03-19 00:00:00,DLR-007-TECH-11,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001361,WC-2023000571,Routed,2024-03-20 15:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 67. Routed to REVIEWER-10.,MEDIUM_RISK_MANUAL_REVIEW
AUD-001362,WC-2023000572,Submitted,2023-07-17 00:00:00,DLR-007-TECH-13,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001363,WC-2023000572,Routed,2023-07-18 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 18. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-001364,WC-2023000572,Rejected,2023-07-22 18:00:00,REVIEWER-13,Claim Processor,Approved,Rejected,Claim rejected: SRT exceeded,
AUD-001365,WC-2023000573,Submitted,2023-02-21 00:00:00,DLR-008-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001366,WC-2023000573,Routed,2023-02-22 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 34. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-001367,WC-2023000574,Submitted,2025-09-05 00:00:00,DLR-010-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001368,WC-2023000574,Routed,2025-09-05 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 36. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-001369,WC-2023000575,Submitted,2025-05-25 00:00:00,DLR-014-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001370,WC-2023000575,Routed,2025-05-26 18:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 31. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-001371,WC-2023000575,Rejected,2025-05-30 10:00:00,REVIEWER-10,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-001372,WC-2023000576,Submitted,2025-01-10 00:00:00,DLR-007-TECH-10,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001373,WC-2023000576,Routed,2025-01-10 05:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 38. Routed to REVIEWER-15.,LOW_RISK_AUTO_APPROVE
AUD-001374,WC-2023000577,Submitted,2025-12-04 00:00:00,DLR-015-TECH-07,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001375,WC-2023000577,Routed,2025-12-05 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 30. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-001376,WC-2023000578,Submitted,2024-11-12 00:00:00,DLR-010-TECH-11,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001377,WC-2023000578,Routed,2024-11-13 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 5. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-001378,WC-2023000578,Rejected,2024-11-16 14:00:00,REVIEWER-11,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-001379,WC-2023000579,Submitted,2024-12-06 00:00:00,DLR-013-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001380,WC-2023000579,Routed,2024-12-07 07:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 19. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-001381,WC-2023000580,Submitted,2025-03-01 00:00:00,DLR-016-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001382,WC-2023000580,Routed,2025-03-02 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 26. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-001383,WC-2023000581,Submitted,2025-05-28 00:00:00,DLR-007-TECH-09,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001384,WC-2023000581,Routed,2025-05-28 03:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 52. Routed to REVIEWER-06.,BORDERLINE_RISK_SPOT_CHECK
AUD-001385,WC-2023000582,Submitted,2023-09-10 00:00:00,DLR-016-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001386,WC-2023000582,Routed,2023-09-10 08:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 76. Routed to REVIEWER-06.,MEDIUM_RISK_MANUAL_REVIEW
AUD-001387,WC-2023000583,Submitted,2023-02-23 00:00:00,DLR-010-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001388,WC-2023000583,Routed,2023-02-24 19:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 17. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001389,WC-2023000584,Submitted,2024-03-28 00:00:00,DLR-009-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001390,WC-2023000584,Routed,2024-03-29 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 21. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-001391,WC-2023000584,Approved,2024-03-31 09:00:00,REVIEWER-04,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001392,WC-2023000585,Submitted,2023-06-10 00:00:00,DLR-018-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001393,WC-2023000585,Routed,2023-06-10 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 13. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-001394,WC-2023000585,Rejected,2023-06-11 12:00:00,REVIEWER-09,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-001395,WC-2023000586,Submitted,2023-12-21 00:00:00,DLR-007-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001396,WC-2023000586,Routed,2023-12-22 12:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 66. Routed to REVIEWER-09.,MEDIUM_RISK_MANUAL_REVIEW
AUD-001397,WC-2023000587,Submitted,2025-04-12 00:00:00,DLR-005-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001398,WC-2023000587,Routed,2025-04-13 05:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-001399,WC-2023000588,Submitted,2024-08-03 00:00:00,DLR-007-TECH-05,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001400,WC-2023000588,Routed,2024-08-04 15:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-001401,WC-2023000588,Approved,2024-08-06 18:00:00,REVIEWER-03,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001402,WC-2023000589,Submitted,2025-12-26 00:00:00,DLR-018-TECH-08,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001403,WC-2023000589,Routed,2025-12-27 04:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 13. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-001404,WC-2023000590,Submitted,2024-10-12 00:00:00,DLR-019-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001405,WC-2023000590,Routed,2024-10-13 17:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 67. Routed to REVIEWER-06.,MEDIUM_RISK_MANUAL_REVIEW
AUD-001406,WC-2023000591,Submitted,2025-02-11 00:00:00,DLR-002-TECH-13,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001407,WC-2023000591,Routed,2025-02-11 03:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 25. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-001408,WC-2023000591,Approved,2025-02-15 22:00:00,REVIEWER-02,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001409,WC-2023000592,Submitted,2023-07-05 00:00:00,DLR-005-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001410,WC-2023000592,Routed,2023-07-05 16:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 5. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-001411,WC-2023000593,Submitted,2024-08-03 00:00:00,DLR-006-TECH-07,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001412,WC-2023000593,Routed,2024-08-03 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 32. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-001413,WC-2023000594,Submitted,2025-07-20 00:00:00,DLR-008-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001414,WC-2023000594,Routed,2025-07-21 06:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 19. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-001415,WC-2023000594,Approved,2025-07-23 23:00:00,REVIEWER-07,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001416,WC-2023000595,Submitted,2023-06-24 00:00:00,DLR-016-TECH-07,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001417,WC-2023000595,Routed,2023-06-24 11:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 32. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001418,WC-2023000596,Submitted,2023-09-23 00:00:00,DLR-007-TECH-02,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001419,WC-2023000596,Routed,2023-09-24 11:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 14. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001420,WC-2023000596,Approved,2023-09-26 18:00:00,REVIEWER-12,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001421,WC-2023000597,Submitted,2023-12-09 00:00:00,DLR-003-TECH-05,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001422,WC-2023000597,Routed,2023-12-10 07:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 17. Routed to REVIEWER-15.,LOW_RISK_AUTO_APPROVE
AUD-001423,WC-2023000598,Submitted,2023-04-08 00:00:00,DLR-013-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001424,WC-2023000598,Routed,2023-04-09 18:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 20. Routed to REVIEWER-01.,LOW_RISK_AUTO_APPROVE
AUD-001425,WC-2023000598,Rejected,2023-04-14 08:00:00,REVIEWER-01,Claim Processor,Approved,Rejected,Claim rejected: Warranty expired,
AUD-001426,WC-2023000599,Submitted,2024-06-20 00:00:00,DLR-017-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001427,WC-2023000599,Routed,2024-06-21 03:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 37. Routed to REVIEWER-14.,LOW_RISK_AUTO_APPROVE
AUD-001428,WC-2023000600,Submitted,2023-12-07 00:00:00,DLR-014-TECH-05,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001429,WC-2023000600,Routed,2023-12-08 08:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 28. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001430,WC-2023000601,Submitted,2023-08-06 00:00:00,DLR-005-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001431,WC-2023000601,Routed,2023-08-06 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 35. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-001432,WC-2023000602,Submitted,2025-12-07 00:00:00,DLR-020-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001433,WC-2023000602,Routed,2025-12-07 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 10. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-001434,WC-2023000603,Submitted,2023-03-25 00:00:00,DLR-003-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001435,WC-2023000603,Routed,2023-03-26 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 40. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001436,WC-2023000604,Submitted,2025-11-23 00:00:00,DLR-001-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001437,WC-2023000604,Routed,2025-11-23 08:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 15. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-001438,WC-2023000604,Rejected,2025-11-26 22:00:00,REVIEWER-08,Claim Processor,Approved,Rejected,Claim rejected: Duplicate attachment,
AUD-001439,WC-2023000605,Submitted,2025-12-23 00:00:00,DLR-007-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001440,WC-2023000605,Routed,2025-12-23 11:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 21. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001441,WC-2023000606,Submitted,2024-10-25 00:00:00,DLR-014-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001442,WC-2023000606,Routed,2024-10-25 20:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 25. Routed to REVIEWER-14.,LOW_RISK_AUTO_APPROVE
AUD-001443,WC-2023000607,Submitted,2024-01-21 00:00:00,DLR-019-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001444,WC-2023000607,Routed,2024-01-21 13:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 25. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-001445,WC-2023000608,Submitted,2025-11-26 00:00:00,DLR-013-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001446,WC-2023000608,Routed,2025-11-27 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 26. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001447,WC-2023000608,Approved,2025-11-29 09:00:00,REVIEWER-06,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001448,WC-2023000609,Submitted,2023-03-11 00:00:00,DLR-008-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001449,WC-2023000609,Routed,2023-03-12 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 19. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-001450,WC-2023000609,Rejected,2023-03-13 14:00:00,REVIEWER-08,Claim Processor,Approved,Rejected,Claim rejected: Parts cost inflated,
AUD-001451,WC-2023000610,Submitted,2025-09-20 00:00:00,DLR-003-TECH-09,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001452,WC-2023000610,Routed,2025-09-21 03:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 16. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-001453,WC-2023000611,Submitted,2025-01-11 00:00:00,DLR-014-TECH-06,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001454,WC-2023000611,Routed,2025-01-12 18:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 26. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001455,WC-2023000612,Submitted,2025-05-23 00:00:00,DLR-006-TECH-06,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001456,WC-2023000612,Routed,2025-05-24 11:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 24. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001457,WC-2023000612,Rejected,2025-05-29 04:00:00,REVIEWER-06,Claim Processor,Approved,Rejected,Claim rejected: Warranty expired,
AUD-001458,WC-2023000613,Submitted,2024-02-13 00:00:00,DLR-011-TECH-04,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001459,WC-2023000613,Routed,2024-02-13 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 23. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-001460,WC-2023000614,Submitted,2023-10-15 00:00:00,DLR-006-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001461,WC-2023000614,Routed,2023-10-15 15:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-001462,WC-2023000614,Approved,2023-10-18 13:00:00,REVIEWER-02,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001463,WC-2023000615,Submitted,2023-12-07 00:00:00,DLR-020-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001464,WC-2023000615,Routed,2023-12-08 01:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 32. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-001465,WC-2023000615,Rejected,2023-12-10 05:00:00,REVIEWER-04,Claim Processor,Approved,Rejected,Claim rejected: Warranty expired,
AUD-001466,WC-2023000616,Submitted,2024-09-17 00:00:00,DLR-002-TECH-05,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001467,WC-2023000616,Routed,2024-09-17 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 18. Routed to REVIEWER-01.,LOW_RISK_AUTO_APPROVE
AUD-001468,WC-2023000616,Rejected,2024-09-22 02:00:00,REVIEWER-01,Claim Processor,Approved,Rejected,Claim rejected: Warranty expired,
AUD-001469,WC-2023000617,Submitted,2024-04-10 00:00:00,DLR-001-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001470,WC-2023000617,Routed,2024-04-10 16:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 39. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001471,WC-2023000617,Approved,2024-04-12 07:00:00,REVIEWER-12,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001472,WC-2023000618,Submitted,2025-04-17 00:00:00,DLR-009-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001473,WC-2023000618,Routed,2025-04-17 21:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-001474,WC-2023000619,Submitted,2023-01-11 00:00:00,DLR-004-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001475,WC-2023000619,Routed,2023-01-11 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 12. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-001476,WC-2023000620,Submitted,2025-01-23 00:00:00,DLR-008-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001477,WC-2023000620,Routed,2025-01-23 17:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 34. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-001478,WC-2023000620,Approved,2025-01-27 16:00:00,REVIEWER-08,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001479,WC-2023000621,Submitted,2025-04-09 00:00:00,DLR-018-TECH-14,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001480,WC-2023000621,Routed,2025-04-09 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 17. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-001481,WC-2023000621,Approved,2025-04-10 18:00:00,REVIEWER-02,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001482,WC-2023000622,Submitted,2025-01-22 00:00:00,DLR-011-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001483,WC-2023000622,Routed,2025-01-23 01:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 6. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001484,WC-2023000623,Submitted,2024-07-28 00:00:00,DLR-009-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001485,WC-2023000623,Routed,2024-07-28 21:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 26. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-001486,WC-2023000624,Submitted,2024-02-03 00:00:00,DLR-018-TECH-12,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001487,WC-2023000624,Routed,2024-02-04 19:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 5. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-001488,WC-2023000625,Submitted,2023-01-24 00:00:00,DLR-009-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001489,WC-2023000625,Routed,2023-01-24 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 24. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-001490,WC-2023000626,Submitted,2025-12-24 00:00:00,DLR-011-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001491,WC-2023000626,Routed,2025-12-24 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 36. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-001492,WC-2023000627,Submitted,2023-08-21 00:00:00,DLR-009-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001493,WC-2023000627,Routed,2023-08-21 03:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 5. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-001494,WC-2023000627,Approved,2023-08-24 03:00:00,REVIEWER-05,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001495,WC-2023000628,Submitted,2023-10-27 00:00:00,DLR-011-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-001496,WC-2023000628,Routed,2023-10-27 22:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 28. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-001497,WC-2023000628,Approved,2023-11-01 11:00:00,REVIEWER-11,Claim Processor,Approved,Approved,Claim approved after review,
AUD-001498,WC-2023000629,Submitted,2024-10-08 00:00:00,DLR-020-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-001499,WC-2023000629,Routed,2024-10-08 06:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 38. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-001500,WC-2023000629,Rejected,2024-10-11 09:00:00,REVIEWER-13,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-001501,WC-2023000630,Submitted,2023-07-07 00:00:00,DLR-015-TECH-07,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001502,WC-2023000630,Routed,2023-07-09 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 26. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-001503,WC-2023000631,Submitted,2024-08-27 00:00:00,DLR-001-TECH-03,Dealer Technician,,Submitted,Claim submitted via API,
AUD-001504,WC-2023000631,Routed,2024-08-27 16:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 37. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-001505,WC-2023000632,Submitted,2023-06-17 00:00:00,DLR-003-TECH-09,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-001506,WC-2023000632,Routed,2023-06-17 18:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 23. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
